Tour;Tournament Year;Tournament #;Permanent Tournament #;Course #;Team ID;Team Number;Player Number;Player Name;Round Number;Event Name;Course Name;Course Par;Course Yardage;Tee Time;Round Score;End of Round Finish Pos. (numeric);End of Round Finish Pos. (text); End of Event Pos. (numeric);End of Event Pos. (text);In Playoff;Eagles;Eagles(Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Longest Drive;Longest Drives(Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance(Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(# of Drives);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App.   50-75 yds(ft);App.   50-75 yds(attempts);App.   75-100 yds(ft);App.   75-100 yds(attempts);App.   100-125 yds(ft);App.   100-125 yds(attempts);Approaches   50-125 Yards(ft);Approaches   50-125 Yards(attempts);Approaches   125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App.   50-75 yds(ft) - Rough;App.   50-75 yds(attempts) - Rough;App.   75-100 yds(ft) - Rough;App.   75-100 yds(attempts) - Rough;App.   100-125 yds(ft) - Rough;App.   100-125 yds(attempts) - Rough;Approaches   50-125 Yards(ft) - Rough;Approaches   50-125 Yards(attempts) - Rough;Approaches   125-150 Yards(ft) - Rough;Approaches   125-150 Yards(attempts) - Rough;Approaches   150-175 Yards(ft) - Rough;Approaches   150-175 Yards(attempts) - Rough;Approaches   175-200 Yards(ft) - Rough;Approaches   175-200 Yards(attempts) - Rough;Approaches   >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling   20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling   10-20 Yards(successes); Scrambling   10-20 Yards(attempts);Scrambling   < 10 Yards(successes); Scrambling   < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Putting   3'(attempts);Putting   3'(putts made);Putting   4'(attempts);Putting   4'(putts made);Putting   5'(attempts);Putting   5'(putts made);Putting   6'(attempts);Putting   6'(putts made);Putting   7'(attempts);Putting   7'(putts made);Putting   8'(attempts);Putting   8'(putts made);Putting   9'(attempts);Putting   9'(putts made);Putting   10'(attempts);Putting   10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting   5' - 10' (putts made);Putting   5' - 10' (attempts);Putting   5' - 10' (Rank);Putting   4'-8'(attempts);Putting   4'-8'(putts made);Putting   4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting   10'-15'(attempts);Putting   10'-15'(putts made);Putting   10'-15'(rank);Putting   15-20'(attempts);Putting   15'-20'(putts made);Putting   15'-20'(rank);Putting   20'-25'(attempts);Putting   20'-25'(putts made);Putting   20'-25'(rank);Putting   >25'(attempts);Putting   >25'(putts made);Putting   >25'(rank);Putting   > 10' (putts made);Putting   > 10' (attempts);Putting   > 10' (rank);Total Putts Gained;
R;2014;010;464;775;  ;000;01381;Funk, Fred;01;Frys.com Open;CordeValle GC;71;07379;12:00;075;110;T110;999; CUT;;  00000000000;  6;          1;106;         12;          5;114;;;              5;106;00000000313;372;00000000543;00000000002;121;00000003817;00000000014;130;          2;00000000011;00000000014;  4;00000000000;00000000002;;000;         94.833;003;         20.167;001;        115.000;00000000004;         50.750;003;        101.833;002;         86.417;002;        313.167;005;  ;;;;;;;;;;;;    128.500;          2;;;00000000018;  00000000009;114;        795.667;00000000018;  125;00000000016;    667.167;121;00000000002;    128.500;118;00000000000;;00000000002;    128.500;  00000000001;00000000002;00000000000;00000000004;00000000009;87;     85.583;          8;96;00000000001;00000000003;00000000000;00000000000;00000000000;00000000003;00000000001;00000000001;00000000001;00000000003;00000000002;00000000002;00000000002;00000000003;32;           30.667;00000000003;00000000000;00000000000;00000000031;00000000017;00000000005;00000000000;00000000013;     43.000;00000000810;00000000012;00000000012;00000000001;00000000001;  00000000001;00000000001;00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;         14;         14;1;          3;            3;1;00000000003;00000000003;1;00000000017;00000000017;1;00000000003;00000000000;76;00000000004;00000000001;33;00000000002;00000000000;24;00000000005;00000000000;26;          1;         14;96;   .524;
R;2014;010;464;775;  ;000;01706;Love III, Davis;01;Frys.com Open;CordeValle GC;71;07379;12:30;069;019; T19;062; T62;;  00000000000;  6;          4;22;         13;;1;          1;;              1;005;00000000357;3;00000000592;00000000002;52;00000004233;00000000014;9;          8;00000000009;00000000014;  30;00000000002;00000000002;         42.167;001;         30.250;002;         51.667;003;        124.083;00000000006;         10.333;001;         78.167;003;         22.000;001;        157.083;003;  ;;;;     68.583;          2;     68.583;          2;;;;;     83.167;          1;;;00000000018;  00000000012;51;        560.000;00000000018;  47;00000000014;    391.667;44;00000000003;    151.750;98;00000000002;    108.083;00000000001;     43.667;  00000000001;00000000002;00000000000;00000000005;00000000006;13;     21.333;          6;9;00000000001;00000000002;00000000002;00000000002;00000000000;00000000001;00000000000;00000000000;00000000002;00000000002;00000000003;00000000003;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000028;00000000020;00000000009;00000000001;00000000009;     22.333;00000000773;00000000012;00000000012;00000000002;00000000002;  00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;         15;         14;96;          2;            2;1;00000000003;00000000002;53;00000000017;00000000016;23;00000000005;00000000002;40;00000000001;00000000000;36;00000000002;00000000000;24;00000000003;00000000000;26;          2;         11;43;   .618;
R;2014;010;464;775;  ;000;01724;Maggert, Jeff;01;Frys.com Open;CordeValle GC;71;07379;07:20;073;083; T83;080;  80;;  00000000000;  6;          1;106;         14;          3;61;;;              3;049;00000000306;530;00000000575;00000000002;85;00000003899;00000000014;120;          1;00000000005;00000000014;  121;00000000004;00000000002;;000;         41.833;001;         22.167;002;         64.000;00000000003;         48.000;002;         66.833;002;          9.000;001;        127.583;004;  ;;;;;;;;     47.500;          1;     17.500;          1;    125.833;          3;;;00000000018;  00000000011;74;        549.000;00000000018;  38;00000000012;    315.417;29;00000000005;    190.833;69;00000000003;    103.250;00000000002;     87.583;  00000000000;00000000003;00000000000;00000000004;00000000007;56;    102.500;          6;124;00000000000;00000000000;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;00000000003;00000000006;00000000000;00000000000;00000000000;00000000001;75;           62.083;00000000001;00000000000;00000000000;00000000031;00000000021;00000000005;00000000000;00000000013;     41.500;00000001042;00000000008;00000000008;00000000003;00000000003;  00000000000;00000000000;00000000001;00000000001;00000000002;00000000001;00000000002;00000000002;00000000001;00000000000;00000000001;00000000001;         11;         11;1;          7;            5;28;00000000005;00000000004;40;00000000018;00000000016;47;00000000004;00000000002;15;00000000001;00000000000;36;00000000001;00000000000;24;00000000007;00000000000;26;          2;         13;53;  1.403;
R;2014;010;464;775;  ;000;01797;Mediate, Rocco;01;Frys.com Open;CordeValle GC;71;07379;08:00;073;083; T83;999; CUT;;  00000000000;  6;          4;22;          9;          4;92;          1;;              5;106;00000000334;75;00000000525;00000000002;130;00000003918;00000000014;116;          5;00000000011;00000000014;  4;00000000000;00000000001;;000;;000;         23.500;002;         23.500;00000000002;         57.167;002;        164.417;005;;000;        291.500;007;  ;;;;     34.583;          1;     34.583;          1;;;     10.750;          1;;;;;00000000018;  00000000013;30;        581.917;00000000018;  59;00000000016;    536.583;89;00000000002;     45.333;10;00000000000;;00000000002;     45.333;  00000000002;00000000001;00000000001;00000000002;00000000005;100;     24.500;          3;66;00000000001;00000000002;00000000000;00000000000;00000000001;00000000002;00000000000;00000000001;00000000001;00000000002;00000000000;00000000000;00000000001;00000000001;1;            5.250;00000000001;00000000000;00000000000;00000000034;00000000025;00000000005;00000000003;00000000013;     34.083;00000001631;00000000011;00000000010;00000000003;00000000002;  00000000000;00000000000;00000000002;00000000001;00000000003;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;         14;         12;127;          6;            2;86;00000000006;00000000002;113;00000000020;00000000014;131;00000000003;00000000001;41;00000000002;00000000001;9;00000000000;00000000000;;00000000009;00000000002;12;          4;         14;12;  .904-;
R;2014;010;464;775;  ;000;02239;Verplank, Scott;01;Frys.com Open;CordeValle GC;71;07379;12:10;072;066; T66;999; CUT;;  00000000000;  6;          2;72;         13;          3;61;;;              3;049;00000000317;284;00000000562;00000000002;101;00000003923;00000000014;115;          3;00000000011;00000000014;  4;00000000001;00000000001;;000;;000;         24.833;001;         24.833;00000000001;        127.333;005;         68.167;002;         94.917;002;        286.833;006;  ;;;;;;;;     55.917;          1;     45.333;          1;;;;;00000000018;  00000000014;14;        703.333;00000000018;  96;00000000016;    602.083;101;00000000002;    101.250;100;00000000001;     55.917;00000000001;     45.333;  00000000002;00000000001;00000000001;00000000002;00000000004;67;     25.917;          3;70;00000000001;00000000001;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000001;00000000002;00000000000;00000000000;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000033;00000000028;00000000004;00000000001;00000000014;     47.750;00000000798;00000000009;00000000009;00000000004;00000000004;  00000000002;00000000001;00000000002;00000000002;00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;         15;         14;96;          4;            3;26;00000000006;00000000004;53;00000000019;00000000017;38;00000000003;00000000000;76;00000000001;00000000001;1;00000000001;00000000000;24;00000000009;00000000000;26;          1;         14;96;  .263-;
R;2014;010;464;775;  ;000;06004;Ames, Stephen;01;Frys.com Open;CordeValle GC;71;07379;08:10;076;119;T119;999; CUT;;  00000000000;  6;;124;         14;          3;61;          1;;              4;082;00000000315;332;00000000540;00000000002;124;00000003856;00000000014;127;          3;00000000007;00000000014;  75;00000000002;00000000000;;000;         12.750;001;         35.083;002;         47.833;00000000003;         48.083;003;         97.250;002;         23.250;001;        147.250;004;  ;;;;;;;;;;     41.167;          1;;;;;00000000018;  00000000012;51;        634.750;00000000018;  76;00000000013;    363.667;44;00000000001;     41.167;76;00000000001;     41.167;00000000000;;  00000000000;00000000003;00000000000;00000000004;00000000006;30;     19.750;          4;25;00000000001;00000000002;00000000000;00000000000;00000000000;00000000002;00000000002;00000000002;00000000002;00000000002;00000000000;00000000000;00000000001;00000000001;1;            6.583;00000000001;00000000000;00000000000;00000000033;00000000026;00000000005;00000000002;00000000013;     30.500;00000000561;00000000012;00000000012;00000000003;00000000002;  00000000003;00000000002;00000000000;00000000000;00000000003;00000000002;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         18;         16;116;          3;            2;31;00000000006;00000000004;53;00000000021;00000000018;64;00000000003;00000000000;76;00000000002;00000000000;36;00000000002;00000000000;24;00000000005;00000000000;26;;         12;104; 2.011-;
R;2014;010;464;775;  ;000;06567;Singh, Vijay;01;Frys.com Open;CordeValle GC;71;07379;08:00;069;019; T19;002;   2;;  00000000000;  6;          4;22;         13;;1;          1;;              1;005;00000000330;115;00000000608;00000000002;26;00000004097;00000000014;52;          4;00000000008;00000000014;  51;00000000001;00000000003;;000;          9.583;002;         20.083;002;         29.667;00000000004;         47.750;003;         78.250;003;;000;         85.250;003;  ;;;;;;;;     18.500;          1;     37.750;          1;     76.000;          1;;;00000000018;  00000000013;30;        488.917;00000000018;  19;00000000013;    240.917;4;00000000003;    132.250;81;00000000001;     76.000;00000000002;     56.250;  00000000001;00000000002;00000000000;00000000004;00000000005;15;     54.333;          5;98;00000000001;00000000002;00000000001;00000000001;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000003;00000000003;00000000001;00000000001;1;            5.500;00000000001;00000000000;00000000000;00000000029;00000000022;00000000008;00000000001;00000000010;     25.917;00000000771;00000000011;00000000011;00000000002;00000000002;  00000000000;00000000000;00000000004;00000000004;00000000000;00000000000;00000000000;00000000000;00000000001;00000000000;00000000001;00000000000;         13;         13;1;          6;            4;31;00000000004;00000000004;1;00000000019;00000000017;38;00000000002;00000000000;76;00000000003;00000000001;18;00000000000;00000000000;;00000000005;00000000000;26;          1;         10;64;   .396;
R;2014;010;464;775;  ;000;06643;Goydos, Paul;01;Frys.com Open;CordeValle GC;71;07379;08:20;070;034; T34;999; CUT;;  00000000000;  6;          3;51;         13;          2;25;;;              2;019;00000000321;219;00000000542;00000000002;122;00000003860;00000000014;126;          3;00000000009;00000000014;  30;00000000001;00000000001;         28.750;003;         30.917;002;;000;         59.667;00000000005;         50.667;002;         76.917;003;         26.667;001;        192.167;004;  ;;;;;;;;;;     25.333;          1;     52.333;          1;;;00000000018;  00000000013;30;        516.083;00000000018;  29;00000000015;    406.083;36;00000000002;     77.667;73;00000000001;     52.333;00000000001;     25.333;  00000000000;00000000003;00000000000;00000000004;00000000005;15;     14.917;          3;26;00000000000;00000000000;00000000000;00000000000;00000000002;00000000003;00000000000;00000000000;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000030;00000000024;00000000007;00000000001;00000000011;     39.417;00000001060;00000000008;00000000008;00000000002;00000000002;  00000000002;00000000002;00000000001;00000000001;00000000001;00000000001;00000000003;00000000002;00000000000;00000000000;00000000000;00000000000;         12;         12;1;          5;            4;21;00000000007;00000000006;33;00000000017;00000000016;23;00000000001;00000000001;1;00000000003;00000000001;18;00000000002;00000000000;24;00000000007;00000000000;26;          2;         13;53;  1.779;
R;2014;010;464;775;  ;000;08075;Kelly, Jerry;01;Frys.com Open;CordeValle GC;71;07379;12:40;069;019; T19;057;  57;;  00000000000;  6;          5;9;         10;          3;61;;;              3;049;00000000336;59;00000000585;00000000002;67;00000003945;00000000014;112;          5;00000000009;00000000014;  30;00000000000;00000000003;;000;;000;         36.417;001;         36.417;00000000001;         60.417;004;         90.167;005;;000;        280.417;005;  ;;;;     26.500;          1;     26.500;          1;     77.250;          1;;;;;;;00000000018;  00000000009;114;        612.667;00000000018;  69;00000000015;    467.417;72;00000000002;    103.750;104;00000000000;;00000000002;    103.750;  00000000001;00000000002;00000000001;00000000006;00000000009;30;     30.167;          7;16;00000000002;00000000003;00000000001;00000000001;00000000002;00000000003;00000000001;00000000003;00000000001;00000000001;00000000002;00000000002;00000000001;00000000002;42;            8.417;00000000002;00000000000;00000000000;00000000025;00000000014;00000000011;00000000000;00000000007;     11.750;00000001008;00000000009;00000000009;00000000002;00000000002;  00000000001;00000000001;00000000002;00000000001;00000000001;00000000000;00000000002;00000000002;00000000001;00000000001;00000000000;00000000000;         12;         12;1;          6;            4;31;00000000006;00000000004;53;00000000018;00000000016;47;00000000002;00000000001;15;00000000001;00000000001;1;00000000001;00000000000;24;00000000003;00000000000;26;          2;          7;12;  2.598;
R;2014;010;464;775;  ;000;10423;Weir, Mike;01;Frys.com Open;CordeValle GC;71;07379;12:30;072;066; T66;062; T62;;  00000000000;  6;          1;106;         16;;1;          1;;              1;005;00000000298;716;00000000548;00000000002;117;00000003739;00000000014;131;          0;00000000003;00000000014;  130;00000000002;00000000006;;000;;000;         37.417;001;         37.417;00000000001;          8.583;001;        102.167;003;;000;        155.750;003;  ;;    142.250;          1;     50.167;          1;    192.417;          2;     77.000;          3;     69.500;          1;     61.083;          1;;;00000000018;  00000000008;125;        882.833;00000000018;  130;00000000008;    303.917;102;00000000007;    400.000;112;00000000001;     11.083;00000000006;    388.917;  00000000000;00000000003;00000000000;00000000009;00000000010;10;     38.917;          9;16;00000000002;00000000002;00000000000;00000000000;00000000000;00000000001;00000000004;00000000004;00000000004;00000000004;00000000001;00000000001;00000000002;00000000002;1;            7.833;00000000002;00000000000;00000000000;00000000025;00000000015;00000000011;00000000000;00000000007;     13.583;00000000691;00000000009;00000000009;00000000004;00000000004;  00000000001;00000000001;00000000003;00000000003;00000000001;00000000001;00000000000;00000000000;00000000001;00000000000;00000000000;00000000000;         14;         14;1;          5;            4;21;00000000005;00000000005;1;00000000019;00000000018;14;00000000001;00000000000;76;00000000000;00000000000;;00000000000;00000000000;;00000000005;00000000000;26;;          6;104;  1.710;
